qid,video_id,start,end,question,a0,a1,a2,a3,answer_id
2599,NO1jjDMiz1Y_60_120,14.94,45.11,How many mans are cooking in this video?,Seven,Ten,Six,One man,3
19401,nlYvh28ZFE8_120_180,0.0,21.01,What is the thing shown in the video?,The car ic blue in colour,The lady is wearing the specs,The thing is exhaust fan in the video,The man is sitting in the chair,2
38705,BfibpxtlemU_120_180,13.7,35.93,What are doing girl in this video?,Child video,The girl explain water makeup,Going shop,I watch the tv,1
15762,Ll3apIoUTnA_60_120,0.0,14.31,How much clear acrylic do you mix in?,All of it,None of it,Just a pinch,Half of it,2
40672,OrMZxzehmf0_120_180,53.31,61.63,How many piece of lemon in that salad?,6,4,5,3,3
1412,ko31Fl3sT8g_60_120,32.03,40.66,How does the man circulate the air?,He opens two windows,With a standing fan,With a ceiling fan,With a swamp cooler,1
33133,iaysQluwch0_120_180,43.24,50.6,What do you seen in this video?,One engine,Parts of the car engine,Some tools,Some parts of the car,1
32072,nxJ53HLMkHA_60_120,7.4,17.17,What sentence is written on the chalkboard behind the man?,Where is my plan,What is my plan,What is your plan,What is it,2
14251,FxztXi96SAQ_60_120,13.81,33.01,What mean the video?,The man explain safety food,Going shop,I watch the tv,I read the books,0
37199,l2BLjow6QW0_0_60,23.1,33.0,Why put the prouder in the disss?,Tonight's meal,Sewage system,Food for her pets,All good tree in the video,3
7123,QUxfIuwonM4_60_120,34.78,44.32,What is held on the host's hand?,Ducati,A diaper,Royal enfield,Bmw,1
23053,1fDfbUz1P2U_180_240,0.0,34.52,What he holds on his hands?,Guitar,Olive pomace oil,Virgin olive oil,Pure olive oil,0
25473,yNDJkxhItcg_0_60,4.5,18.61,What is the color of the car?,Orange,Black,White,Red,2
25992,MSndNH3YLqM_0_60,21.61,46.83,What is the lady talking about?,Juicing gardener,Not mixed properly,Gaming,Money,0
25547,tgXMq06y0Hs_180_240,5.93,50.11,What color of dress the man wears?,Yellow color,Red color,Orange color,Black color,3
17740,soJYtuoam4Q_0_60,7.5,42.62,What is the machine?,When the kitchen staff not working,No i am not interest cooking mostly time,A piece of equipment with moving parts that is designed to do a particular job,I am only tasty healthy eating,2
16804,fcInSHHKpGQ_0_60,0.0,4.8,How many tyres are atop the red set or drawers on the right?,5,3,4,2,2
34166,_MecoTPEpP4_120_180,3.08,15.12,How many containers are there?,4,5,2,3,2
20928,erzXapc_dlo_180_240,32.88,41.62,What did the man use to make holes?,Knife,Drill machine,Hammer,Nail,1
25985,F8WBMu61fc8_120_180,5.55,9.86,What is the woman using to stir the batter?,A spoon,A whisk,She's using a spatula,A fork,1
16178,epwO-fu2ebE_0_60,38.42,43.22,Where does he place the tire?,Metal colander,Standing up against the wall,Mixing bowl,Ziploc bag,1
22142,SHysODBENgg_120_180,0.0,31.21,What animal is shown in the video?,Earthworm,Snail,Caterpillar,Slug,2
24919,JoIYmZid2pY_60_120,0.0,3.6,What is hanging from the bottom of the cupboard?,A plastic bottle,A young girl,Coffee mugs,Safety glasses,2
39888,CIvv5_5ODeY_60_120,9.93,60.16,What expression shows the woman?,Moderate,Boring,Long,Smile,3
18789,PddA2JhDHFg_0_60,0.0,11.2,What type of case?,Sing song,The men explain aggressive personal injury representation,Playing a card,Go to bed,1
21300,M9hAM68K9OU_0_60,7.2,12.61,When did he say maximum industries got started?,In 1968,In 2019,In 1996,In 2001,2
13359,SEu6a7djc44_180_240,6.02,55.35,How did the sugar caramelized here in the video?,With a rag,In a smoker,In front of a fan,By heating heavy,3
21764,yQGWsc8aJ9U_0_60,0.0,5.1,What is the color of the shirt worn by the girl?,Black,White,Blue,Green,1
